"jahr","gemeinde_bfsnr","listen_code","listen_nr","waehlerproz"
2019,200,"EDU",10,NA
2019,172,"SVP",1,NA
2019,172,"SP",2,NA
2019,172,"FDP",3,NA
2019,172,"GLP",4,NA
2019,172,"Grüne",5,NA
2019,172,"CVP",6,NA
2019,172,"EVP",7,NA
2019,172,"AL",8,NA
2019,172,"BDP",9,NA
2019,172,"EDU",10,NA
2019,173,"SVP",1,NA
2019,173,"SP",2,NA
2019,173,"FDP",3,NA
2019,173,"GLP",4,NA
2019,173,"Grüne",5,NA
2019,173,"CVP",6,NA
2019,173,"EVP",7,NA
2019,173,"AL",8,NA
2019,173,"BDP",9,NA
2019,173,"EDU",10,NA
2019,176,"SVP",1,NA
2019,176,"SP",2,NA
2019,176,"FDP",3,NA
2019,176,"GLP",4,NA
2019,176,"Grüne",5,NA
2019,176,"CVP",6,NA
2019,176,"EVP",7,NA
2019,176,"AL",8,NA
2019,176,"BDP",9,NA
2019,176,"EDU",10,NA
2019,177,"SVP",1,NA
2019,177,"SP",2,NA
2019,177,"FDP",3,NA
2019,177,"GLP",4,NA
2019,177,"Grüne",5,NA
2019,177,"CVP",6,NA
2019,177,"EVP",7,NA
2019,177,"AL",8,NA
2019,177,"BDP",9,NA
2019,177,"EDU",10,NA
2019,178,"SVP",1,NA
2019,178,"SP",2,NA
2019,178,"FDP",3,NA
2019,178,"GLP",4,NA
2019,178,"Grüne",5,NA
2019,178,"CVP",6,NA
2019,178,"EVP",7,NA
2019,178,"AL",8,NA
2019,178,"BDP",9,NA
2019,178,"EDU",10,NA
2019,180,"SVP",1,NA
2019,180,"SP",2,NA
2019,180,"FDP",3,NA
2019,180,"GLP",4,NA
2019,180,"Grüne",5,NA
2019,180,"CVP",6,NA
2019,180,"EVP",7,NA
2019,180,"AL",8,NA
2019,180,"BDP",9,NA
2019,180,"EDU",10,NA
2019,181,"SVP",1,NA
2019,181,"SP",2,NA
2019,181,"FDP",3,NA
2019,181,"GLP",4,NA
2019,181,"Grüne",5,NA
2019,181,"CVP",6,NA
2019,181,"EVP",7,NA
2019,181,"AL",8,NA
2019,181,"BDP",9,NA
2019,181,"EDU",10,NA
2019,182,"SVP",1,NA
2019,182,"SP",2,NA
2019,182,"FDP",3,NA
2019,182,"GLP",4,NA
2019,182,"Grüne",5,NA
2019,182,"CVP",6,NA
2019,182,"EVP",7,NA
2019,182,"AL",8,NA
2019,182,"BDP",9,NA
2019,182,"EDU",10,NA
2019,296,"SVP",1,NA
2019,296,"SP",2,NA
2019,296,"FDP",3,NA
2019,296,"GLP",4,NA
2019,296,"Grüne",5,NA
2019,296,"CVP",6,NA
2019,296,"EVP",7,NA
2019,296,"AL",8,NA
2019,296,"BDP",9,NA
2019,296,"EDU",10,NA
2019,297,"SVP",1,NA
2019,297,"SP",2,NA
2019,297,"FDP",3,NA
2019,297,"GLP",4,NA
2019,297,"Grüne",5,NA
2019,297,"CVP",6,NA
2019,297,"EVP",7,NA
2019,297,"AL",8,NA
2019,297,"BDP",9,NA
2019,297,"EDU",10,NA
2019,10230,"SVP",1,NA
2019,10230,"SP",2,NA
2019,10230,"FDP",3,NA
2019,10230,"GLP",4,NA
2019,10230,"Grüne",5,NA
2019,10230,"CVP",6,NA
2019,10230,"EVP",7,NA
2019,10230,"AL",8,NA
2019,10230,"BDP",9,NA
2019,10230,"EDU",10,NA
2019,20230,"SVP",1,NA
2019,20230,"SP",2,NA
2019,20230,"FDP",3,NA
2019,20230,"GLP",4,NA
2019,20230,"Grüne",5,NA
2019,20230,"CVP",6,NA
2019,20230,"EVP",7,NA
2019,20230,"AL",8,NA
2019,20230,"BDP",9,NA
2019,20230,"EDU",10,NA
2019,30230,"SVP",1,NA
2019,30230,"SP",2,NA
2019,30230,"FDP",3,NA
2019,30230,"GLP",4,NA
2019,30230,"Grüne",5,NA
2019,30230,"CVP",6,NA
